user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,Monthly_Charge,primary_device,household_size,created_at,churn
user_00001,figueroajohn@example.org,Erica,Garza,43,Male,USA,Massachusetts,North Jefferyhaven,Basic,2024-04-08,True,9.99,Laptop,1,2023-04-01 14:40:50,0
user_00002,blakeerik@example.com,Joshua,Bernard,38,Male,USA,Texas,North Noahstad,Premium+,2024-05-24,True,29.99,Desktop,2,2024-10-10 15:39:11,0
user_00003,smiller@example.net,Barbara,Williams,32,Female,USA,Michigan,Traciebury,Standard,2023-09-22,False,15.99,Desktop,3,2024-06-29 14:27:49,1
user_00004,mitchellclark@example.com,Chelsea,Ferguson,11,Male,USA,Ohio,South Noah,Standard,2024-08-21,True,15.99,Laptop,2,2023-04-11 01:01:59,0
user_00005,richard13@example.net,Jason,Foster,21,Female,USA,Arizona,West Donald,Standard,2024-10-28,True,15.99,Desktop,6,2025-04-12 19:59:30,0
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43,Female,Canada,Quebec,Carlsonfurt,Standard,2024-05-16,True,15.99,Gaming Console,2,2024-03-04 19:57:36,0
user_00008,nathanielmartin@example.net,Carol,Smith,35,Male,Canada,New Brunswick,Johnbury,Basic,2022-11-03,True,9.99,Tablet,1,2025-01-13 04:53:02,0
user_00009,donnaarroyo@example.org,Allison,Brandt,24,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,True,21.99,Gaming Console,5,2022-12-13 15:46:23,0
user_00010,morganbrianna@example.org,Adrian,Perez,24,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,True,9.99,Laptop,1,2024-03-15 22:04:39,0
user_00011,kristenaguirre@example.org,Collin,Gomez,67,Female,USA,Ohio,Shieldston,Basic,2022-10-07,True,9.99,Desktop,2,2024-12-27 07:05:50,0
user_00012,jamesherrera@example.org,Isaiah,Wright,41,Female,USA,Missouri,Mortonside,Premium,2022-09-26,True,21.99,Tablet,2,2025-06-29 19:39:28,0
user_00013,richardolson@example.com,Franklin,Galloway,32,Female,USA,Ohio,Mitchellside,Basic,2023-01-18,True,9.99,Gaming Console,3,2023-03-29 14:38:00,0
user_00014,adkinsbrian@example.net,Wesley,Brown,22,Male,USA,Pennsylvania,North Brooke,Basic,2023-10-18,True,9.99,Laptop,2,2024-04-28 09:41:18,0
user_00015,barnesbrandy@example.net,Sarah,Santiago,45,Female,Canada,Alberta,West Randy,Basic,2023-12-16,False,9.99,Mobile,3,2022-08-13 06:39:47,1
user_00016,medinawilliam@example.org,Nicole,Wood,50,Female,USA,Pennsylvania,Bassport,Standard,2024-08-02,True,15.99,Laptop,1,2025-05-20 00:20:29,0
user_00017,josephpreston@example.net,Joseph,Robbins,25,Female,USA,Indiana,Williamview,Premium,2022-11-11,True,21.99,Smart TV,1,2025-01-27 19:17:27,0
user_00018,cookdavid@example.com,Joyce,Hoffman,36,Female,USA,Tennessee,Lake Rebeccaside,Basic,2025-02-01,True,9.99,Laptop,6,2023-11-16 23:54:48,0
user_00019,michael05@example.org,Elizabeth,Deleon,26,Other,USA,Ohio,East Michelle,Premium,2025-03-25,True,21.99,Mobile,7,2023-02-15 14:23:22,0
user_00020,vpham@example.org,Erik,Reyes,31,Female,USA,Indiana,Walkermouth,Premium+,2023-07-02,True,29.99,Tablet,2,2023-04-04 07:58:29,0
user_00021,emurphy@example.com,Darlene,Frazier,38,Female,Canada,Alberta,North Natalieview,Basic,2024-04-29,True,9.99,Laptop,3,2022-09-13 23:45:07,0
user_00022,jessica56@example.net,Paul,Scott,33,Male,USA,Florida,New Saraside,Premium+,2023-09-05,True,29.99,Gaming Console,2,2025-06-07 18:30:35,0
user_00023,elizabeth14@example.net,Elizabeth,Powell,40,Female,Canada,New Brunswick,East Robert,Basic,2024-08-13,True,9.99,Gaming Console,3,2024-06-07 12:03:36,0
user_00024,akelley@example.com,Jason,Marshall,35,Female,Canada,British Columbia,New Thomas,Standard,2024-07-24,True,15.99,Desktop,2,2024-02-18 20:40:39,0
user_00025,cardenaskaren@example.net,Jeffrey,Hernandez,36,Male,USA,New York,South Cheryl,Premium+,2023-12-14,False,29.99,Tablet,2,2024-09-28 04:14:08,1
user_00026,jross@example.net,Patricia,Osborne,60,Prefer not to say,Canada,Ontario,Port Susan,Basic,2022-09-26,True,9.99,Smart TV,2,2025-05-04 08:39:28,0
user_00027,danderson@example.net,Stephanie,Salazar,37,Female,USA,Michigan,Merrittfort,Basic,2023-05-13,True,9.99,Mobile,2,2025-02-08 07:48:05,0
user_00028,rsims@example.com,Jennifer,Nelson,35,Male,USA,Indiana,East Edwardfurt,Standard,2024-09-14,True,15.99,Laptop,3,2023-10-31 15:35:20,0
user_00029,nperry@example.com,Rebecca,Gates,28,Female,USA,Washington,Smithstad,Basic,2024-11-04,True,9.99,Gaming Console,2,2024-03-14 19:25:44,0
user_00031,michellewhite@example.com,Mark,Murphy,26,Male,USA,Massachusetts,Karenchester,Premium+,2025-02-02,True,29.99,Tablet,2,2022-08-24 07:25:10,0
user_00032,jeffrey10@example.org,James,Howell,56,Male,USA,Pennsylvania,South Elizabeth,Premium+,2023-12-24,True,29.99,Gaming Console,4,2024-11-20 09:01:33,0
user_00033,stricklandfrank@example.com,Beth,Johnston,60,Male,USA,California,Davidborough,Standard,2024-05-11,True,15.99,Smart TV,2,2022-11-22 17:25:08,0
user_00035,ryangross@example.net,Christina,Marshall,31,Male,USA,Pennsylvania,Melissaland,Premium+,2025-03-25,True,29.99,Desktop,1,2024-11-02 09:10:36,0
user_00036,anthony52@example.com,Michael,Peterson,36,Other,USA,Texas,New Stacyland,Premium,2024-09-29,True,21.99,Smart TV,2,2024-04-02 09:18:58,0
user_00037,fbrewer@example.com,Christopher,Sullivan,41,Male,Canada,British Columbia,Elizabethstad,Standard,2024-03-30,True,15.99,Desktop,1,2023-11-12 07:17:05,0
user_00038,jacqueline44@example.com,David,Stewart,21,Female,USA,Indiana,East Joanna,Standard,2024-10-04,True,15.99,Mobile,2,2025-07-12 10:27:16,0
user_00039,jeremy24@example.org,Joshua,Tran,40,Female,USA,New York,Garciatown,Standard,2023-12-29,True,15.99,Tablet,2,2023-08-11 09:19:52,0
user_00040,shelley71@example.org,Travis,Hernandez,48,Female,USA,Ohio,East Davidchester,Standard,2024-11-29,True,15.99,Tablet,1,2023-12-09 16:59:49,0
user_00041,michelle64@example.net,Chelsea,Meza,29,Female,Canada,Alberta,West Donna,Standard,2023-04-21,True,15.99,Laptop,2,2023-01-21 14:04:27,0
user_00042,enorris@example.com,Jesse,Warner,58,Male,Canada,Alberta,Lake Jesusview,Standard,2023-11-10,True,15.99,Laptop,6,2024-07-12 16:43:25,0
user_00043,charlesmartin@example.com,Scott,Barker,35,Male,Canada,Nova Scotia,Vincentfort,Standard,2022-10-29,True,15.99,Tablet,4,2025-04-03 15:05:41,0
user_00044,anthony39@example.net,Yvonne,Johnston,42,Male,Canada,Newfoundland and Labrador,Stonemouth,Basic,2023-02-16,True,9.99,Mobile,5,2024-06-28 14:48:13,0
user_00045,harrisonricky@example.com,Mia,Jenkins,40,Female,USA,Pennsylvania,Elainefurt,Premium,2023-12-13,True,21.99,Desktop,4,2023-05-06 15:05:43,0
user_00046,ahancock@example.net,Robert,Stone,35,Male,USA,Missouri,Wolfborough,Premium+,2024-03-25,True,29.99,Desktop,2,2023-11-26 02:57:13,0
user_00047,johnsoncrystal@example.org,Lance,Tran,50,Female,USA,Wisconsin,Port Robin,Premium+,2025-06-04,True,29.99,Smart TV,2,2024-01-31 03:36:44,0
user_00048,robert77@example.org,Andrea,Lee,33,Female,Canada,Manitoba,West Kendrachester,Basic,2025-05-21,True,9.99,Smart TV,2,2025-01-18 03:54:41,0
user_00049,mary97@example.org,Amanda,Cook,39,Prefer not to say,USA,Tennessee,Cantuborough,Basic,2024-04-19,True,9.99,Desktop,2,2025-02-26 00:30:18,0
user_00050,floresthomas@example.com,Vanessa,Simpson,47,Male,USA,Georgia,New Tammy,Premium+,2025-03-12,False,29.99,Smart TV,2,2022-11-20 07:50:19,1
